Ref,Name,Pos,Team,Value,Owners
146,Steven Pienaar,Midfielder,Everton,5.7,11748
147,Kevin Mirallas,Midfielder,Everton,7.2,70958
148,James McCarthy,Midfielder,Everton,4.6,47439
149,Aiden McGeady,Midfielder,Everton,5.3,35840
150,Ryan Ledson,Midfielder,Everton,4.3,1710
151,Gareth Barry,Midfielder,Everton,4.7,57400
152,Steven Naismith,Forward,Everton,4.7,376834
153,Arouna Kone,Forward,Everton,5.4,2377
154,Conor McAleny,Forward,Everton,4.3,3627
155,Allan McGregor,Goalkeeper,Hull,4.7,81136
156,Steve Harper,Goalkeeper,Hull,4.4,7074
157,Liam Rosenior,Defender,Hull,4.1,9079
158,James Chester,Defender,Hull,4.3,87197
159,Paul McShane,Defender,Hull,3.9,85758
160,Joe Dudgeon,Defender,Hull,3.9,1324
161,Alex Bruce,Defender,Hull,4,382014
162,Maynor Figueroa,Defender,Hull,4.1,12953
163,Curtis Davies,Defender,Hull,4.7,59150
164,Stephen Quinn,Midfielder,Hull,4.4,25014
165,Robbie Brady,Midfielder,Hull,4.4,7092
166,David Meyler,Midfielder,Hull,4.7,2085
167,Ahmed Elmohamady,Midfielder,Hull,5,85071
168,George Boyd,Midfielder,Burnley,4.5,217937
169,Tom Huddlestone,Midfielder,Hull,5.3,42235
170,Jake Livermore,Midfielder,Hull,5.1,17042
171,Sone Aluko,Midfielder,Hull,4.4,2578
172,Tom Ince,Midfielder,Hull,5,16328
173,Robert Snodgrass,Midfielder,Hull,5.6,10520
174,Nikica Jelavic,Forward,Hull,5.6,39759
175,Nick Proschwitz,Forward,Hull,4.5,326
176,Shane Long,Forward,Southampton,5.4,50748
177,Yannick Sagbo,Forward,Hull,4.9,840
178,Kasper Schmeichel,Goalkeeper,Leicester,4.5,169209
179,Ben Hamer,Goalkeeper,Leicester,4,239183
180,Wes Morgan,Defender,Leicester,4.6,110802
181,Marcin Wasilewski,Defender,Leicester,3.9,184924
182,Liam Moore,Defender,Leicester,3.9,47576
183,Ritchie de Laet,Defender,Leicester,4.3,9121
184,Jeffrey Schlupp,Defender,Leicester,4.5,75317
185,Paul Konchesky,Defender,Leicester,4.4,19935
186,Matthew Upson,Defender,Leicester,3.9,15774
187,Daniel Drinkwater,Midfielder,Leicester,5,4225
188,Dean Hammond,Midfielder,Leicester,4.4,2447
189,Matthew James,Midfielder,Leicester,4.4,4309
190,Riyad Mahrez,Midfielder,Leicester,4.9,31137
191,Anthony Knockaert,Midfielder,Leicester,5,2135
192,Andy King,Midfielder,Leicester,4.2,55903
193,Gary TaylorFletcher,Midfielder,Leicester,4.2,13686
194,Marc Albrighton,Midfielder,Leicester,4.3,107409
195,David Nugent,Forward,Leicester,4.9,13996
196,Jamie Vardy,Forward,Leicester,4.6,172817
197,Chris Wood,Forward,Leicester,4.3,28266
198,Jack Barmby,Forward,Leicester,4.2,7325
199,Jose Reina,Goalkeeper,Liverpool,5.5,831
200,Simon Mignolet,Goalkeeper,Liverpool,5.4,343563
201,Martin Kelly,Defender,Crystal Palace,4.4,21237
202,Glen Johnson,Defender,Liverpool,5.2,25497
203,Martin Skrtel,Defender,Liverpool,5.9,320568
204,Daniel Agger,Defender,Liverpool,5.4,5871
205,Jose Enrique,Defender,Liverpool,4.5,8258
206,Sebastian Coates,Defender,Sunderland,4.4,2490
207,Andre Wisdom,Defender,West Brom,4,474204
208,Conor Coady,Defender,Liverpool,4,597
